,datetime,utility_name,service_type,res_rate
0,01/01/2017 00:00,Électricité de France (EDF),Bundled,0.201479174374
1,01/01/2017 01:00,Électricité de France (EDF),Bundled,0.201479174374
2,01/01/2017 02:00,Électricité de France (EDF),Bundled,0.201479174374
3,01/01/2017 03:00,Électricité de France (EDF),Bundled,0.201479174374
4,01/01/2017 04:00,Électricité de France (EDF),Bundled,0.201479174374
5,01/01/2017 05:00,Électricité de France (EDF),Bundled,0.201479174374
6,01/01/2017 06:00,Électricité de France (EDF),Bundled,0.201479174374
7,01/01/2017 07:00,Électricité de France (EDF),Bundled,0.201479174374
8,01/01/2017 08:00,Électricité de France (EDF),Bundled,0.201479174374
9,01/01/2017 09:00,Électricité de France (EDF),Bundled,0.201479174374
10,01/01/2017 10:00,Électricité de France (EDF),Bundled,0.201479174374
11,01/01/2017 11:00,Électricité de France (EDF),Bundled,0.201479174374
12,01/01/2017 12:00,Électricité de France (EDF),Bundled,0.201479174374
13,01/01/2017 13:00,Électricité de France (EDF),Bundled,0.201479174374
14,01/01/2017 14:00,Électricité de France (EDF),Bundled,0.201479174374
15,01/01/2017 15:00,Électricité de France (EDF),Bundled,0.201479174374
16,01/01/2017 16:00,Électricité de France (EDF),Bundled,0.201479174374
17,01/01/2017 17:00,Électricité de France (EDF),Bundled,0.201479174374
18,01/01/2017 18:00,Électricité de France (EDF),Bundled,0.201479174374
19,01/01/2017 19:00,Électricité de France (EDF),Bundled,0.201479174374
20,01/01/2017 20:00,Électricité de France (EDF),Bundled,0.201479174374
21,01/01/2017 21:00,Électricité de France (EDF),Bundled,0.201479174374
22,01/01/2017 22:00,Électricité de France (EDF),Bundled,0.201479174374
23,01/01/2017 23:00,Électricité de France (EDF),Bundled,0.201479174374
24,02/01/2017 00:00,Électricité de France (EDF),Bundled,0.201479174374
25,02/01/2017 01:00,Électricité de France (EDF),Bundled,0.201479174374
26,02/01/2017 02:00,Électricité de France (EDF),Bundled,0.201479174374
27,02/01/2017 03:00,Électricité de France (EDF),Bundled,0.201479174374
28,02/01/2017 04:00,Électricité de France (EDF),Bundled,0.201479174374
29,02/01/2017 05:00,Électricité de France (EDF),Bundled,0.201479174374
30,02/01/2017 06:00,Électricité de France (EDF),Bundled,0.201479174374
31,02/01/2017 07:00,Électricité de France (EDF),Bundled,0.201479174374
32,02/01/2017 08:00,Électricité de France (EDF),Bundled,0.201479174374
33,02/01/2017 09:00,Électricité de France (EDF),Bundled,0.201479174374
34,02/01/2017 10:00,Électricité de France (EDF),Bundled,0.201479174374
35,02/01/2017 11:00,Électricité de France (EDF),Bundled,0.201479174374
36,02/01/2017 12:00,Électricité de France (EDF),Bundled,0.201479174374
37,02/01/2017 13:00,Électricité de France (EDF),Bundled,0.201479174374
38,02/01/2017 14:00,Électricité de France (EDF),Bundled,0.201479174374
39,02/01/2017 15:00,Électricité de France (EDF),Bundled,0.201479174374
40,02/01/2017 16:00,Électricité de France (EDF),Bundled,0.201479174374
41,02/01/2017 17:00,Électricité de France (EDF),Bundled,0.201479174374
42,02/01/2017 18:00,Électricité de France (EDF),Bundled,0.201479174374
